Vintage	Quality	EndofHarvest	Rain
1961	5	28	0
1962	4	50	0
1963	1	53	1
1964	3	38	0
1965	1	46	1
1966	4	40	0
1967	3	35	1
1968	2	38	1
1969	2	45	1
1970	4	47	0
1971	3	45	1
1972	1	54	1
1973	2	39	1
1974	1	45	1
1975	4	40	1
1976	3	32	0
1977	2	47	0
1978	4	50	0
1979	3	48	0
1980	1	54	1
1981	3	39	1
1982	5	30	0
1983	3	41	0
1984	1	44	1
1985	4	41	0
1986	4	46	0
1987	1	47	1
1988	4	40	0
1989	4	21	0
1990	5	32	0
1991	3	40	1
1992	1	39	1
1993	3	36	1
1994	3.5	29	1
1995	4	27	0
1996	5	32	0
1997	4	25	0
1998	3.5	35	1
1999	3.5	30	0
2000	5	41	0
2001	3.5	43	0
2002	4	47	0
2003	5	30	0
2004	4	49	0
