"Father" "Mother" "Gender" "Height" "SES"
"1" 78.5 67 1 73.2 3
"2" 78.5 67 0 69.2 2
"3" 78.5 67 0 69 6
"4" 78.5 67 0 69 2
"5" 75.5 66.5 1 73.5 6
"6" 75.5 66.5 1 72.5 6
"7" 75.5 66.5 0 65.5 5
"8" 75.5 66.5 0 65.5 10
"9" 75 64 1 71 10
"10" 75 64 0 68 6
"11" 75 64 1 70.5 6
"12" 75 64 1 68.5 2
"13" 75 64 0 67 3
"14" 75 64 0 64.5 9
"15" 75 64 0 63 4
"16" 75 58.5 1 72 9
"17" 75 58.5 1 69 3
"18" 75 58.5 1 68 7
"19" 75 58.5 0 66.5 3
"20" 75 58.5 0 62.5 10
"21" 75 58.5 0 62.5 3
"22" 74 68 0 69.5 1
"23" 74 68 1 76.5 9
"24" 74 68 1 74 6
"25" 74 68 1 73 5
"26" 74 68 1 73 4
"27" 74 68 0 70.5 10
"28" 74 68 0 64 10
"29" 74 66.5 0 70.5 10
"30" 74 66.5 0 68 4
"31" 74 66.5 0 66 9
"32" 74.5 66 0 66 4
"33" 74 65.5 0 65.5 8
"34" 74 62 1 74 4
"35" 74 62 1 70 5
"36" 74 62 0 68 7
"37" 74 62 0 67 2
"38" 74 62 0 67 2
"39" 74 62 0 66 3
"40" 74 62 0 63.5 4
"41" 74 62 0 63 8
"42" 74 61 0 65 3
"43" 73 67 1 68 8
"44" 73 67 1 67 10
"45" 73 66.5 1 71 2
"46" 73 66.5 1 70.5 8
"47" 73 66.5 0 66.7 1
"48" 73 65 1 72 3
"49" 73 65 1 70.5 7
"50" 73 65 1 70.2 4
"51" 73 65 1 70.2 8
"52" 73 65 1 69.2 5
"53" 73 65 0 68.7 9
"54" 73 65 0 66.5 3
"55" 73 65 0 64.5 6
"56" 73 65 0 63.5 8
"57" 73 64.5 1 74 3
"58" 73 64.5 1 73 2
"59" 73 64.5 1 71.5 9
"60" 73 64.5 1 62.5 7
"61" 73 64.5 0 66.5 5
"62" 73 64.5 0 62.3 2
"63" 73 64 0 66 1
"64" 73 64 0 64.5 3
"65" 73 64 0 64 2
"66" 73.2 63 0 62.7 3
"67" 72.7 69 1 73.2 7
"68" 72.7 69 1 73 8
"69" 72.7 69 1 72.7 5
"70" 72.7 69 0 70 6
"71" 72.7 69 0 69 2
"72" 72.7 69 0 68.5 6
"73" 72.7 69 0 68 8
"74" 72.7 69 0 66 8
"75" 72 68 1 73 10
"76" 72 68 0 68.5 9
"77" 72 68 0 68 6
"78" 72 67 1 73 4
"79" 72 67 1 71 8
"80" 72 67 0 67 3
"81" 72 65 1 74.2 2
"82" 72 65 1 70.5 4
"83" 72 65 1 69.5 3
"84" 72 65 0 66 2
"85" 72 65 0 65.5 2
"86" 72 65 0 65 10
"87" 72 65 0 65 10
"88" 72 65.5 0 65.5 3
"89" 72 64 0 66 5
"90" 72 64 0 63 5
"91" 72 63 1 70.5 4
"92" 72 63 1 70.5 6
"93" 72 63 1 69 1
"94" 72 63 0 65 5
"95" 72 63 0 63 3
"96" 72 63 1 69 2
"97" 72 63 1 67 6
"98" 72 63 0 63 5
"99" 72 63 1 73 9
"100" 72 63 1 67 2
"101" 72 63 0 70.5 5
"102" 72 63 0 70 8
"103" 72 63 0 66.5 7
"104" 72 63 0 63 10
"105" 72.5 63.5 0 67.5 9
"106" 72.5 63.5 0 67.2 8
"107" 72.5 63.5 0 66.7 8
"108" 72 62 0 64 3
"109" 72.5 62 1 71 3
"110" 72.5 62 1 70 10
"111" 72.5 62 1 70 9
"112" 72.5 62 0 66 2
"113" 72.5 62 0 65 8
"114" 72.5 62 0 65 2
"115" 72 62 1 74 5
"116" 72 62 1 72 4
"117" 72 62 1 69 1
"118" 72 62 0 67.5 6
"119" 72 62 0 63.5 10
"120" 72 62 1 72 2
"121" 72 62 1 71.5 7
"122" 72 62 1 71.5 6
"123" 72 62 1 70 5
"124" 72 62 0 68 3
"125" 72 61 0 65.7 5
"126" 71 69 1 78 7
"127" 71 69 1 74 5
"128" 71 69 1 73 1
"129" 71 69 1 72 6
"130" 71 69 0 67 9
"131" 71 67 1 73.2 1
"132" 71 67 1 73 1
"133" 71 67 1 69 6
"134" 71 67 0 67 3
"135" 71 66 1 70 1
"136" 71 66 0 67 1
"137" 71 66 0 67 10
"138" 71 66 0 66.5 9
"139" 71 66 1 70 9
"140" 71 66 1 69 8
"141" 71 66 1 68.5 8
"142" 71 66 0 66 3
"143" 71 66 0 64.5 2
"144" 71 66 0 63 10
"145" 71 66 1 71 1
"146" 71 66 0 67 10
"147" 71 66 1 76 2
"148" 71 66 1 72 8
"149" 71 66 1 71 3
"150" 71 66 1 66 2
"151" 71 66 0 66 7
"152" 71.7 65.5 1 70.5 6
"153" 71 65.5 1 72 7
"154" 71 65.5 1 72 2
"155" 71 65.5 1 71 4
"156" 71 65.5 1 69 6
"157" 71 65.5 0 66 5
"158" 71 65.5 0 65 10
"159" 71.5 65.5 1 73 8
"160" 71.5 65.5 0 65.2 7
"161" 71.5 65 1 68.5 2
"162" 71.5 65 1 67.7 7
"163" 71 65 1 68 4
"164" 71 65 1 68 4
"165" 71 65 0 62 1
"166" 71 64 0 68 10
"167" 71 64 0 68 8
"168" 71 64 0 67.5 4
"169" 71 64 0 66.5 10
"170" 71 64 0 66.5 4
"171" 71 64 0 66 8
"172" 71 64 0 65.5 5
"173" 71 64 0 65 4
"174" 71.7 64.5 1 72 1
"175" 71.7 64.5 1 71 6
"176" 71.7 64.5 1 70.5 6
"177" 71.7 64.5 0 67 2
"178" 71 64 1 68 4
"179" 71 64 1 68 9
"180" 71 64 1 68 1
"181" 71.5 64.5 1 72 5
"182" 71.5 64.5 1 71 9
"183" 71.5 64.5 1 70 5
"184" 71.5 64.5 0 66 6
"185" 71.5 64.5 0 64.5 6
"186" 71.5 64.5 0 64.5 8
"187" 71.5 64.5 0 62 6
"188" 71.2 63 0 67.5 10
"189" 71.2 63 0 64.5 3
"190" 71 63.5 1 71 8
"191" 71 63.5 1 67 4
"192" 71 63.5 0 66 8
"193" 71 63.5 0 65 2
"194" 71 63.5 0 63.5 6
"195" 71 63 1 71 1
"196" 71 63 1 70 10
"197" 71 63 1 70 10
"198" 71 63 1 64 5
"199" 71 63 0 65 5
"200" 71 63 0 65 5
"201" 71 63 0 64 2
"202" 71 63 0 63 9
"203" 71 63 0 63 6
"204" 71 63 1 71 9
"205" 71 63 1 71 6
"206" 71 63 1 70 6
"207" 71 63 0 63.5 5
"208" 71 62 1 71 8
"209" 71 62 1 70 8
"210" 71 62 0 64.5 4
"211" 71 62 0 62.5 10
"212" 71 62 0 61.5 10
"213" 71 62 1 72 10
"214" 71 62 1 70.5 2
"215" 71 62 1 70.5 3
"216" 71 62 0 64.5 2
"217" 71 62 0 60 2
"218" 71 62.5 1 70 10
"219" 71 62.5 0 64 4
"220" 71 62.5 0 64 4
"221" 71 62.5 0 64 5
"222" 71 62.5 0 62.5 9
"223" 71 62 1 70.5 8
"224" 71 62 1 70 5
"225" 71 62 1 69 2
"226" 71 62 1 69 5
"227" 71 62 1 66 8
"228" 71 62 0 64.5 1
"229" 71 62 0 64 10
"230" 71 61 0 62 10
"231" 71 58 1 71.5 6
"232" 71 58 1 69 4
"233" 70 69 1 71 5
"234" 70 69 1 70 5
"235" 70 69 1 69 4
"236" 70 69 0 69 1
"237" 70 69 1 70 2
"238" 70 69 1 68.7 5
"239" 70 69 0 68 3
"240" 70 69 0 66 7
"241" 70 69 0 64 2
"242" 70 69 0 62 5
"243" 70 68 1 75 2
"244" 70 67 1 70 6
"245" 70 67 1 69 9
"246" 70 67 0 66 10
"247" 70 67 0 64 9
"248" 70 67 0 60 7
"249" 70 67 0 67.5 2
"250" 70 66.5 1 73 1
"251" 70 66.5 1 72 5
"252" 70 66.5 1 72 7
"253" 70 66.5 1 66.5 6
"254" 70 66.5 0 69.2 10
"255" 70 66.5 0 67.2 4
"256" 70 66.5 0 66.5 7
"257" 70 66.5 0 66 1
"258" 70 66.5 0 66 5
"259" 70 66.5 0 64.2 10
"260" 70 66.5 0 63.7 5
"261" 70.5 65 1 72 2
"262" 70.5 65 1 70.2 2
"263" 70.5 65 1 69 9
"264" 70.5 65 1 68.5 7
"265" 70.5 65 0 68 2
"266" 70.5 65 0 65 7
"267" 70.5 65 0 61.5 5
"268" 70.5 65 0 61 6
"269" 70.5 65 0 61 7
"270" 70 65 1 73 2
"271" 70 65 1 72 6
"272" 70 65 1 70.5 5
"273" 70 65 1 65 10
"274" 70 65 1 65 4
"275" 70 65 0 64.5 3
"276" 70 65 0 63 6
"277" 70 65 0 62 5
"278" 70 65 1 67 9
"279" 70 65 1 65 9
"280" 70 65 0 64.5 3
"281" 70 65 0 62.5 1
"282" 70 65 0 62.5 7
"283" 70 65 1 70 2
"284" 70 65 1 70 10
"285" 70 65 0 67 7
"286" 70 65 0 65 2
"287" 70 65 0 65 4
"288" 70 65 0 63 6
"289" 70 65 1 79 5
"290" 70 65 1 75 4
"291" 70 65 1 71 8
"292" 70 65 0 69 1
"293" 70 65 0 67 9
"294" 70 65 0 65.7 8
"295" 70 65 0 62 1
"296" 70 65 1 73 5
"297" 70 65 1 72.5 5
"298" 70 65 0 65 4
"299" 70 65 1 69 8
"300" 70 65 1 69 2
"301" 70 64.7 1 72 4
"302" 70 64.7 1 70 2
"303" 70 64.7 1 68.7 10
"304" 70 64.7 0 66.5 6
"305" 70 64.7 0 65.5 2
"306" 70 64.7 0 64.7 9
"307" 70 64.7 0 64.5 6
"308" 70 64 1 70.7 7
"309" 70 64 1 70 6
"310" 70 64 1 68 3
"311" 70 64 1 67 4
"312" 70 64 1 66 1
"313" 70 64 1 65 1
"314" 70 64 0 67 3
"315" 70 64 1 70 2
"316" 70 64 1 68 1
"317" 70 64 1 66.7 9
"318" 70 64 0 65.5 8
"319" 70 64.2 1 72 7
"320" 70 64.2 1 70 1
"321" 70 64.2 0 62.5 3
"322" 70 64.2 0 61.2 8
"323" 70 64.2 0 60.1 7
"324" 70.5 64 1 74 3
"325" 70.5 64 1 69.5 4
"326" 70.5 64 1 69 2
"327" 70.5 64 1 68 5
"328" 70.5 64 1 68 2
"329" 70.5 64 1 68 2
"330" 70.5 64 0 65.5 7
"331" 70.5 64 0 65 5
"332" 70.5 64.5 0 60 2
"333" 70 64 1 68 8
"334" 70 64 0 65 7
"335" 70 64 0 64 8
"336" 70 64 0 62 6
"337" 70 64 1 71 9
"338" 70 64 1 70 9
"339" 70 64 1 70 6
"340" 70 64 1 70 2
"341" 70 64 1 69.5 6
"342" 70 64 1 68.5 9
"343" 70 64 0 69 1
"344" 70 64 0 65 4
"345" 70 64 0 64 4
"346" 70 63.7 1 70 8
"347" 70 63.7 1 67 7
"348" 70 63.7 1 65.5 8
"349" 70 63.7 0 63.7 9
"350" 70 63.7 0 63.2 10
"351" 70 63.7 0 62.5 2
"352" 70 63.7 0 62.2 7
"353" 70 63.7 0 61 5
"354" 70.5 63 1 72.5 3
"355" 70.5 63 1 69 6
"356" 70.5 63 1 67 3
"357" 70.5 63 0 64.5 3
"358" 70.5 63 0 64 9
"359" 70 63.5 1 71 7
"360" 70 63.5 1 67.5 6
"361" 70 63.5 0 67.5 2
"362" 70 63.5 0 63.5 8
"363" 70 63 1 68 8
"364" 70 63 1 67 3
